orig_interval,new_interval
Fo1,Fo1
Fo2,Fo2
Fo3,Fo3
Cm21,Cm21
Cm22,Cm22
Cm23,Cm23
Cm31,Cm31
Cm32,Cm32
Cm33,Cm33
Cm41,Cm41
Cm42,Cm42
Wu1,Wu1
Wu2,Wu2
Dr1,Dr
Dr2,Dr
Gu1,Gu
Gu2,Gu
Pb1,Pb
Pb2,Pb
Jn1,Jn1
Jn2,Jn2
CmX1,CmX1
CmX2,CmX2
Tr1a,Tr1a
Tr1b,Tr1b
Tr2,Tr2-3
Tr3,Tr2-3
Fl1,Fl1
Fl2,Fl2-3
Fl3,Fl2-3
Dp1,Dp
Dp2,Dp
Dp3,Dp
Dw1,Dw1
Dw2,Dw2
Dw3,Dw3
Sa1,Sa1
Sa2,Sa2
Ka1,Ka1
Ka2,Ka2-3
Ka3,Ka2-3
Ka4,Ka4
Hi1,Hi
Hi2,Hi
Rh1,Rh
Rh2,Rh
Rh3,Rh
Ae1,Ae
Ae2,Ae
Ae3,Ae
Te1,Te1-2
Te2,Te1-2
Te3,Te3-5
Te4,Te3-5
Te5,Te3-5
Sh1,Sh
Sh2,Sh
Sh3,Sh
Ho1,Ho
Ho2,Ho
Ho3,Ho
Go1,Go
Go2,Go
Lu1,Lu
Lu2,Lu
Lu3,Lu
Pr1,Pr
Pr2,Pr
Lc1,Lc1-2
Lc2,Lc1-2
Lc3,Lc3-4
Lc4,Lc3-4
Pg1,Pg1
Em1,Em1
Em2,Em2
Em3,Em3
Em4,Em4
Em5,Em5
Ei1,Ei1
Ei2,Ei2
Ei3,Ei3
Gv1,Gv1
Gv2,Gv2
Fr1,Fr1
Fr2,Fr2
Fr3,Fr3
Fr4,Fr4
Fr5,Fr5
Fa1,Fa1
Fa2,Fa2
Fa3,Fa3
Fa4,Fa4
Fa5,Fa5
Tu1,Tu1
Tu2,Tu2
Tu3,Tu3
Tu4,Tu4
Tu5,Tu5
Vi1,Vi1
Vi2,Vi2
Vi3,Vi3
Vi4,Vi4
Vi5,Vi5
Sr1,Sr1
Sr2,Sr2
Sr3,Sr3
Sr4,Sr4
Ba1,Ba1
Ba2,Ba2
Ba3,Ba3
Mo1,Mo1
Mo2,Mo2
Mo3,Mo3
Ks1,Ks1
Ks2,Ks2
Gz1,Gz1
Gz2,Gz2
As1,As1
As2,As2
Sk1,Sk1
Sk2,Sk2
Ar1,Ar1
Ar2,Ar2
Ar3,Ar3
Ar4,Ar4
Ku1,Ku1
Ku2,Ku2
Roa,Roa
Wrd,Wrd
Cp1,Cp1
Cp2,Cp2
Wp1,Wp1
Wp2,Wp2
Chg,Chg
